id	witness_a	witness_b	reviewed	portuguese	similarity	provisional_class	difference_summary
BOR-CORBO-HM001-u032	Du paore iere Tadugo (Iwagudu Cebegiwu), Pao Baraedugume mugatowu. Pao Baraedugume mugatowu iere Aroia Kurirewu (Iwagudu Cebegiwu.). Pao Baraedugume mugatowu iere Koge Ebowu (Iwagudu Cobugiwu) Pao Baraedugume mugatowu iere Butoregadu.(Iwagudu Cobugiwu)	Du paore iere Tadugo (Iwagudu Cebegiwu), Pao Baraedugume mugatowu. Pao Baraedugume mugatowy iere Aroia Kurirewy (Iwagudu Cebegiwu.). Pao Baraedugume mugatowy iere Koge Ebowy (Iwagudu Cobugiwu) Pao Baraedugume mugatowy iere Butoregadu.(Iwagudu Cobugiwu)		"Esse nosso pai chama-se Tadugo (do clã das gralhas, do lado de baixo), sucessor de nosso Pai Bradugume.         O sucessor do nosso Pai Baraedugume chama-se Aroia Kurirewu (do clã das gralhas do lado de baixo)
O sucessor do nosso Pai Baraedugume chama-se Koge Ebowu (do clã das gralhas do lado de cima)
O sucessor do nosso Pai Baraedugume chama-se Butoregadu (do clã das gralhas do lado de cima)"	0.492	substantive-or-segmentation	replace: [mugatowu] -> [mugatowy] | replace: [Kurirewu] -> [Kurirewy] | replace: [mugatowu] -> [mugatowy] | replace: [Ebowu] -> [Ebowy] | replace: [mugatowu] -> [mugatowy]
BOR-CORBO-HM001-u033	Pao Baraedugume mugatowu iere Kaborewu (Ar. Cob.). Pao Baraedugume mugatowu iere Birimodu (Ar. Cob.).	Pao Baraedugume mugatowy iere Kaborewy (Ar. Cob.). Pao Baraedugume mugatowy iere Birimodu (Ar. Cob.).		"O sucessor do nosso Pai Baraedugume chama-se Kaborewu (do clã das larvas, do lado de cima).
O sucessor do nosso Pai Baraedugume chama-se Birimodu (do clã das larvas, do lado de cima)."	0.970	near-identical	replace: [mugatowu] -> [mugatowy] | replace: [Kaborewu] -> [Kaborewy] | replace: [mugatowu] -> [mugatowy]
BOR-CORBO-HM001-u034	Pao Baraedugume mugatowu iere Akaruio Boroge (Ap. Ceb.). Pao Baraedugume mugatowu iere Apuie Eceba (Ap.) Pao Baraedugume mugatowu iere Kuruguga (Ap. Cob.)	Pao Baraedugume mugatowy iere Akaruio Boroge (Ap. Ceb.). Pao Baraedugume mugatowy iere Apuie Eceba (Ap.) Pao Baraedugume mugatowy iere Kuruguga (Ap. Cob.)		"O sucessor do nosso Pai Baraedugume chama-se Akaruio Boroge (do clã da palmeira acuri, do lado de baixo).
O sucessor do nosso Pai Baraedugume chama-se Apuie Eceba (Id.)
O sucessor do nosso Pai Baraedugume chama-se Kuruguga ( do clão da palmeia acuri, do lado de cima)."	0.981	near-identical	replace: [mugatowu] -> [mugatowy] | replace: [mugatowu] -> [mugatowy] | replace: [mugatowu] -> [mugatowy]
BOR-CORBO-HM001-u035	Pao Baraedugume mugatowu iere Meriri Baru (Paiwedu).	Pao Baraedugume mugatowy iere Meriri Baru (Paiwedu).		O sucessor do nosso Pai Baraedugume chama-se Meriri Baru (do clã dos Bugios)	0.981	near-identical	replace: [mugatowu] -> [mugatowy]
BOR-CORBO-HM001-u036	Pao Baraedugume mugatowuge reo. Awu gere icare ere tugeragu iagei pugeje, tumugato pugeje.	Pao Baraedugume mugatowyge reo. Awy gere icare ere tugeragu iagei pugeje, tumugato pugeje.		Esses são os sucessores do nosso Pai Baraedugume. Estes por sua vez pegaram outros para serem os seus sucessores.	0.978	near-identical	replace: [mugatowuge] -> [mugatowyge] | replace: [Awu] -> [Awy]
BOR-CORBO-HM001-u037	Duwugere eiere Jerigi Otojiwu.(O Cerae, Boro Cerae) Duwugere eiere Uiagudumaga (Bak. Ec.) Duwugere eiere Akaruio Bokodori (Bak Ec.).	Duwygere eiere Jerigi Otojiwu.(O Cerae, Boro Cerae) Duwygere eiere Uiagudumaga (Bak. Ec.) Duwygere eiere Akaruio Bokodori (Bak Ec.).		"Os quais se chamam Jerigi Otojiwu (do sub-clã dos soc— ou do caracol Boro)
Os quais se chamam Uiagudumaga ( do sub-clã do esp’rito Bakoro)
Os quais se chamam Akaruio Bokodori (do sub-clã do esp’rito Bakoro)"	0.977	near-identical	replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere]
BOR-CORBO-HM001-u038	Duwugere eiere Kaigu (Bok. Ec. Cob). Duwugere eiere Imorio. Duwugere eiere Barogo Bororo.(Bok. Ec. Boiad.} Duwugere eiere Barameri (Barameri Pijiwu: Bok. Ec. Boiadowu). Duwugere eiere Poruiepa (Bok. Ec.) Duwugere eiere Aromerere (Aromere Ekenawu ?: Bok. Ec. Ceb.). Duwugere eiere Inokuri (Bok. Ec. Ceb.).	Duwygere eiere Kaigu (Bok. Ec. Cob). Duwygere eiere Imorio. Duwygere eiere Barogo Bororo.(Bok. Ec. Boiad.} Duwygere eiere Barameri (Barameri Pijiwu: Bok. Ec. Boiadowu). Duwygere eiere Poruiepa (Bok. Ec.) Duwygere eiere Aromerere (Aromere Ekenawy ?: Bok. Ec. Ceb.). Duwygere eiere Inokuri (Bok. Ec. Ceb.). Duwygere eiere Badojeba Kudoro (Kiedy Boiadowu). Duwygere eiere Ikiedu. Duwygere eiere Meredy (Ki. Ceb.). Duwygere eiere Ki Bakororo (Kie Ceb.).		"Os quais se chamam Kaigu (do clã do tatu canastra, do lado de cima).
Os quais se chamam Imorio (do clã do tatu-canastra, do lado de cima) 
Os quais se chamam Barogo Bororo (clã do tatu-canastra, do meio)
Os quais se chamam Poruiepa (do clã do tatu-canastra) 
Os quais se chamam Aromerere (do clã do tatu-canastra, do lado de baixo)
Os quais se chamam Inokuri (do clão dos tatu canastra, do lado de baixo)."	0.786	substantive-or-segmentation	replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Ekenawu] -> [Ekenawy] | replace: [Duwugere] -> [Duwygere]
BOR-CORBO-HM001-u039	Duwugere eiere Torobaru (Kie Cob.) Duwugere eiere Badojeba Kudoro (Kiedu Boiadowu). Duwugere eiere Ikiedu. Duwugere eiere Meredu (Ki. Ceb.). Duwugere eiere Ki Bakororo (Kie Ceb.).	Icare ure tugirimi ae pugeje. Akore: Imuga! Awora jado! Imuga, awora jado. Nowy ucere tuwora jado nowy i paru joki pugeje. Icare ure turemo pugeje, ure tumugudo nono tada pugeje tuku!		"Os quais se chamam Torobaru (do clã das antas, do lado de cima)
Os quais se chamam Badojeba Kudoro (do clã das antas, do meio)
Os quais se chamam Ikiedu
Os quais se chamam Meredu (do clã das antas, do lado de baixo)
Os quais se chamam Ki Bakororo (do clã das antas, do lado de baixo)"	0.243	substantive-or-segmentation	replace: [Duwugere eiere Torobaru (Kie Cob.) Duwugere eiere Badojeba Kudoro (Kiedu Boiadowu). Duwugere eiere Ikiedu. Duwugere eiere Meredu (Ki. Ceb.). Duwugere eiere Ki Bakororo (Kie Ceb.).] -> [Icare ure tugirimi ae pugeje. Akore: Imuga! Awora jado! Imuga, awora jado. Nowy ucere tuwora jado nowy i paru joki pugeje. Icare ure turemo pugeje, ure tumugudo nono tada pugeje tuku!]
BOR-CORBO-HM001-u040	Duwugere eiere Oca Kudurewu (Bad.Cob.). Duwugere eiere Atugorewu (Bad. Boiadowu). Duwugere eiere Boro Erudu (Bad.Cob.). Duwugere eiere Kaiaceba ( Bad.Boiadowu). Duwugere eiere Uwae Epa (Bad Boiadowu). Duwugere eiere Ewiriga (Bad.Cob.). Duwugere eiere Bakoro Akaru (Bad.Boiadowu). Duwugere eiere Bakoro Kudu (Bad. Boiadowu). Duwugere eiere Meriri Upo Duwugere eiere Kuiabaru. Ca! Eregodajiwuge eie reo.	Duwygere eiere Oca Kudurewy (Bad.Cob.). Duwygere eiere Atugorewy (Bad. Boiadowu). Duwygere eiere Boro Erudu (Bad.Cob.). Duwygere eiere Kaiaceba ( Bad.Boiadowu). Duwygere eiere Uwae Epa (Bad Boiadowu). Duwygere eiere Ewiriga (Bad.Cob.). Duwygere eiere Bakoro Akaru (Bad.Boiadowu). Duwygere eiere Bakoro Kudu (Bad. Boiadowu). Duwygere eiere Meriri Upo Duwygere eiere Kuiabaru. Ca! Eregodajiwyge eie reo.		"Os quais se chamam Oca Kudurewu (do clã dos chefes , do lado de cima)
Os quais se chamam Atugorewu Do clã dos chefes, do meio).
Os quais se chamam Boro Erudu ( do clã dos chefes, do lado de cima).
Os quais se chamam Kaiaceba (do clã dos chefes, do meio).
Os quais se chamam Uwae Epa (do clã dos chefes, do meio).
Os quais se chamam Ewiriga (do clã dos chefes, do lado de cima).
Os quais se chamam Bakoro Akaru (do clã dos chefes, do meio).
Os quais se chamamBakoro Kudu (do clã dos chefes, do meio).
Os quais se chamam Meri Upo
Os quais se chamam Kuiabaru
Eis, estes são os que vieram depois daqueles.5"	0.888	orthographic/editorial	replace: [Duwugere] -> [Duwygere] | replace: [Kudurewu] -> [Kudurewy] | replace: [Duwugere] -> [Duwygere] | replace: [Atugorewu] -> [Atugorewy] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere] | replace: [Duwugere] -> [Duwygere]
BOR-CORBO-HM001-u041	Oinore Baraedugume maragodaere.mare Pemo koiare ure rodino. Pemo koiare ure tumearudae pemegarewu, Pemo koiare ure tuiordae pemegarewu, Pemo koiare ure tuwadaru pemegarewu ure maku nowu ime ewogai, Baraedugume ai. Baraedugume koiare ure maku nowu pemegarewuge ime etai, duwuge eie reno, duwuge etagaru reno.	Oinore Baraedugume maragodaere.mare Pemo koiare ure rodino. Pemo koiare ure tumearudae pemegarewy, Pemo koiare ure tuiordae pemegarewy, Pemo koiare ure tuwadary pemegarewy ure maky nowy ime ewogai, Baraedugume ai. Baraedugume koiare ure maky nowy pemegarewyge ime etai, duwyge eie reno, duwyge etagaru reno.		Essa foi obra de Baraedugume, mas foi Pemo que o fez agir assim. Pemo deu seu pensamento bom, seu bom saber e sua palavra boa a Baraedugume, para os homens. Baraedugume deu para esses homens bons, cujos nomes estão ai.	0.808	substantive-or-segmentation	replace: [pemegarewu,] -> [pemegarewy,] | replace: [pemegarewu,] -> [pemegarewy,] | replace: [tuwadaru pemegarewu] -> [tuwadary pemegarewy] | replace: [maku nowu] -> [maky nowy] | replace: [maku nowu pemegarewuge] -> [maky nowy pemegarewyge] | replace: [duwuge] -> [duwyge] | replace: [duwuge] -> [duwyge]
BOR-CORBO-HM001-u042	Ure eegare pemegarewu maku Baraedugume ai. Ure eegare moturewu, ure maku Baraedugume ai.. Ure eke beturewu ure maku Baraedugume ai. Ure eke rorewu ure maku Baraedugume ai. Dure ure maku pemegarewuge etai Du jire pemegarewuge enogwagere. Dure ure maku pemegarewuge ewogai, du jire enogwagere. Oino.	Ure eegare pemegarewy maky Baraedugume ai. Ure eegare moturewy, ure maky Baraedugume ai.. Ure eke beturewy ure maky Baraedugume ai. Ure eke rorewy ure maky Baraedugume ai. Dure ure maky pemegarewyge etai Du jire pemegarewyge enogwagere. Dure ure maky pemegarewyge ewogai, du jire enogwagere. Oino.		Ele entregou a alegria sadia deles para Baraedugume. Ele entregou a alegria bonita deles para Baraedugume. Ele entregou o alimento doce deles para Baraedugume. Ele entregou o alimento gostoso deles para Baraedugume. E este deu para os bons. É isso que os bons comeram. É isso que ele deu para os bons e é isso que eles comeram.	0.721	substantive-or-segmentation	replace: [pemegarewu maku] -> [pemegarewy maky] | replace: [moturewu,] -> [moturewy,] | replace: [maku] -> [maky] | replace: [beturewu] -> [beturewy] | replace: [maku] -> [maky] | replace: [rorewu] -> [rorewy] | replace: [maku] -> [maky] | replace: [maku pemegarewuge] -> [maky pemegarewyge]
BOR-CORBO-HM001-u043	Ure nowu ekerogu maku tu etai. dutabo icare eture. Ure etudo. Ekodure kuri, nowu Bakurebo okwato, Anabo Bororo kae. Icare eedure Anabo Bororo keje tuiamedu tabo.	Ure nowy ekerogu maky ty etai. dytabo icare eture. Ure etudo. Ekodure kuri, nowy Bakurebo okwato, Anabo Bororo kae. Icare eedure Anabo Bororo keje tuiamedy tabo.	Ure nowu ekerogu maku tu etai. dutabo icare eture. Ure etudo. Ekodure kuri, nowu Bakurebo okwa to, Anabo Bororo kae. Icare eedure Anabo Bororo keje tuiamedu tabo.	Quando ele (Pemo) deu os alimentos para os Bororo, eles foram embora. Ele fez que eles viajassem. Dirigiram-se para a margem do rio Bakurebo, para a aldeia de Anabo Bororo. Então ficaram na aldeia Anabo Bororo todos juntos.	0.963	orthographic/editorial	replace: [nowu] -> [nowy] | replace: [maku tu] -> [maky ty] | replace: [dutabo] -> [dytabo] | replace: [nowu] -> [nowy] | replace: [tuiamedu] -> [tuiamedy]
BOR-CORBO-HM001-u044	Nowu Anabo Bororo bukejere icare ure barogwa kododudo pugeje, awu kiege kugure ewogai pugeje. Icare akore Piroje! Piroje! Egogodure. Akore Taebu! Tagogwagewo okureboeji. Icare ere tuiebu. Emagare rugadu. Nowu boeto jiwuge eiekare, nowu boiwure icare eiegidure. Dure eiere oinono: Piroje, Piroje. Mare boenure emage. Ure boedo emage boi pugeje. Oino.	Nowy Anabo Bororo bukejere icare ure barogwa kododydo pugeje, awy kiege kugure ewogai pugeje. Icare akore: Piroje! Piroje! Egogodyre. Akore: Taebu! Tagogwagewo okureboeji. Icare ere tuiebu. Emagare rugadu. Nowy boeto jiwyge eiekare, nowy boiwure icare eiegidure. Dure eiere oinono: Piroje, Piroje. Mare boenure emage. Ure boedo emage boi pugeje. Oino. Ure boecodydo pugeje. Ure barogwa kododydo pugeje. Makore toro pugeje. Akore: Kiege kugure, taebu mato! Tawoaduwo boe otoji, taegarewo boe otoji, tagogwagewo okureboeji, tudureboeji.	Nowu Anabo Bororo bukejere icare ure barogwa kododydo pugeje, awu kiege kugure ewogai pugeje. Icare akore: Piroje! Piroje! Egogodure. Akore: Taebu! Tagogwagewo okureboeji. Icare ere tuiebu. Emagare rugadu. Nowy boe to jiwuge eiekare, nowu boiwure icare eiegidure. Dure eiere oinono: Piroje, Piroje. Mare boenure emage. Ure boedo emage boi pugeje. Oino. Ure boecodudo pugeje. Ure barogwa kododudo pugeje. Makore toro pugeje. Akore kiege kugure, taebu mato! Tawoaduwo boe oto ji, taegarewo boe oto ji, tagogwagewo okureboe ji, tudureboe ji.	"Aí na aldeia de Anabo ele fez amanhecer novamente para os passarinhos
Aí ele disse: -Andorinhas! Andorinhas! - Saiam! Para comer frutas.
Então elas sAíram. Eram muitas mesmo. As primeiras não tinham nome. As últimas tinham. Elas se chamavam ""Andorinhas"". Mas elas eram gente. Ultimamente ele as tinha convertido em gente. 
. Ure boecodudo pugeje. Ure barogwa kododudo pugeje. 
Makore toro pugeje. Akore  Kiege kugure, taebu mato! Tawoaduwo boe otoji, taegarewo boe otoji, tagogwagewo okureboeji, tudureboeji."	0.752	substantive-or-segmentation	replace: [Nowu] -> [Nowy] | replace: [kododudo] -> [kododydo] | replace: [awu] -> [awy] | replace: [akore] -> [akore:] | replace: [Egogodure. Akore] -> [Egogodyre. Akore:] | replace: [Nowu] -> [Nowy] | replace: [jiwuge] -> [jiwyge] | replace: [nowu] -> [nowy]
BOR-CORBO-HM001-u045	Icare akore nono tagomagadure ji pugeje. Akore O! ia boe pa? Eruduia to ikeje. Akore Imuga! Imire irudumode to akeje, imire irudumode to akeje. Akore Imuga, awora jadoi paru joki. Imuga, awora jado i paru joki. Icare ure tuwora jado i paru joki.	Icare akore nono tagomagadure ji pugeje. Akore: O! ia boe pa? Eruduia to ikeje. Akore: Imuga! Imire irudumode to akeje, imire irudumode to akeje. Akore: Imuga, awora jadoi paru joki. Imuga, awora jado i paru joki. Icare ure tuwora jado i paru joki. Boekare! Nowy uwuri kuredugodyrewy akore pudumie tonagodymode ji. Icare onagodyre ji rugadu.		"Então ela faloudo mesmo jeito que tinha falado primeiro, dizendo: - Oh! Se tivesse alguém para subir nele para mim!
(O filho) Disse: - Mãe, abra as pernas na frente da árvore. (2x)
Aí ela abroiu as pernas na frente da árvore."	0.836	substantive-or-segmentation	replace: [Akore] -> [Akore:] | replace: [Akore] -> [Akore:] | replace: [Akore] -> [Akore:] | insert: [] -> [Boekare! Nowy uwuri kuredugodyrewy akore pudumie tonagodymode ji. Icare onagodyre ji rugadu.]
BOR-CORBO-HM001-u046	A! Ere tuiebu rugadu... ja... Toro boeto rugadu! Ure etudo toro boeto. Etaregodure tuiabagi toro nowu tunu pa kae pugeje. A! Nowu enupare iere Tori bai otorewu. Nowu tadare enudare, nowu otojire enudare. Koiare ure towuje, ure nowu tori towuje. Nowu bai onajire torire tudowuje	A! Ere tuiebu rugadu... ja... Toro boeto rugadu! Ure etudo toro boeto. Etaregodyre tuiabagi toro nowy tunu pa kae pugeje. A! Nowy enupare iere Tori bai otorewy. Nowy tadare enudare, nowy otojire enudare. Koiare ure towyje, ure nowy tori towyje. Nowy bai onajire torire tudowyje		Ah! Eles sAíram mesmo! E foram lá para o campo! Ele as mandou para o campo. Depois elas voltaram de novo para os seu lugar de dormir. O lugar delas dormirem chamava-se Pedra parecida com o interior de uma casa. Ali dentro elas dormiram Foi ele quem fes essa pedra. Foi na frente da aldeia que surgiu a pedra.	0.758	substantive-or-segmentation	replace: [Etaregodure] -> [Etaregodyre] | replace: [nowu] -> [nowy] | replace: [Nowu] -> [Nowy] | replace: [otorewu. Nowu] -> [otorewy. Nowy] | replace: [nowu] -> [nowy] | replace: [towuje,] -> [towyje,] | replace: [nowu] -> [nowy] | replace: [towuje. Nowu] -> [towyje. Nowy]
BOR-CORBO-HM001-u047	Boecojire igurure tudowuje. Boecojire boebuture tudowuje.	Boecojire igurure tudowyje. Boecojire boebuture tudowyje.		As plantas e o capim foram feitas de noite.	0.965	orthographic/editorial	replace: [tudowuje.] -> [tudowyje.] | replace: [tudowuje.] -> [tudowyje.]
BOR-CORBO-HM001-u048	Pobore boe eerudukare ui tudowujeduji. Barogwa kododure Pemo apo pobo keje rugadu. Unudure nowu pobo tada, merure nowu pobo aoji. Kodire nowu Pao Pemo apore nowu pobo boture boeto ji (relação da água com Pemo). Awu baru, awu moto, awu itura, awu kiaorewu, awu ipogurutoru jamedu boe otodaire pobo kodure Pao apo. Ca! Oino.	Pobore boe eerydykare ui tudowyjeduji. Barogwa kododure Pemo apo pobo keje rugadu. Unudure nowy pobo tada, merure nowy pobo aoji.		Quanto ˆ água ninguém sabe quando ela foi feita. O dia amanheceu com Pemo, na água. Ele dormia na água, e andava na água. Por isso a água brotou com Pemo no começo. Antes do céu e da terra, da mata, do campo e do cerrado, antes de tudo veio a água com Pemo. Eis! Foi assim.	0.550	substantive-or-segmentation	replace: [eerudukare] -> [eerydykare] | replace: [tudowujeduji.] -> [tudowyjeduji.] | replace: [nowu] -> [nowy] | replace: [nowu] -> [nowy] | delete: [Kodire nowu Pao Pemo apore nowu pobo boture boeto ji (relação da água com Pemo). Awu baru, awu moto, awu itura, awu kiaorewu, awu ipogurutoru jamedu boe otodaire pobo kodure Pao apo. Ca! Oino.] -> []
BOR-CORBO-HM001-u049	Awu otobiji padumode pugeje Pao akore Bakaru ino jiboe tabo. Awu makore jiboeji. Ure pawadarudo emaboeji. Awu maiwu ime, awu maiwu ipare, awu maiwu nege kugure, awu maiwu ipare kugure, awu maiwu areme, awu maiwu nogware kugure emagowo ji, erdiwawo ji	Awy otobiji padumode pugeje Pao akore Bakaru ino jiboe tabo. Awy makore jiboeji. Ure pawadarydo emaboeji. Awy maiwy ime, awy maiwy ipare, awy maiwy nege kugure, awy maiwy ipare kugure, awy maiwy areme, awy maiwy nogware kugure emagowo ji, erdiwawo ji	Awu otobiji padumode pugeje Pao akore Bakaru ino jiboe tabo. Awu makore jiboeji. Ure pawadarudo emaboe ji. Awu maiwu ime, awu maiwu ipare, awu maiwu nege kugure, awu maiwu ipare kugure, awu maiwu areme, awu maiwu nogware kugure emagowo ji, eruduiwawo ji	Daqui para frente continuaremos com o que nosso Pai chamou Bakaru6. O que ele falou, o que ele nos fez falar, para que os novos, os homens de agora, os rapazes, as moças, os meninos, as mulheres de agora, as meninas, todos, leiam e aprendam.7	0.640	substantive-or-segmentation	replace: [Awu] -> [Awy] | replace: [Awu] -> [Awy] | replace: [pawadarudo] -> [pawadarydo] | replace: [Awu maiwu] -> [Awy maiwy] | replace: [awu maiwu] -> [awy maiwy] | replace: [awu maiwu] -> [awy maiwy] | replace: [awu maiwu] -> [awy maiwy] | replace: [awu maiwu] -> [awy maiwy]
BOR-CORBO-HM001-u050	Icare eedure nono jerigigi padu pagai tu. tori parudure. Mare jerigigi matadukare. Pemo koiare ure bu tu nono, marenaru bogai, marenaru joruduwo ji ma uwo tugeragu ji, kuduwo kuru roguji..	Icare eedure nono jerigigi padu pagai tu. tori parudure. Mare jerigigi matadukare. Pemo koiare ure bu ty nono, marenaru bogai, marenaru jorydywo ji ma uwo tugeragu ji, kuduwo kururogu ji..	Icare eedure nono jerigigi padu pagai tu. tori parudure. Mare jerigigi matadukare. Pemo koiare ure bu tu nono, marenaru bogai, marenaru joruduwo ji ma uwo tugeragu ji, kuduwo kururogu ji...	Eles ficam Aí parecendo tartarugas que ficam ˆ toa perto das pedras. Mas a tartaruga não é boba. Pemo a colocou Aí, para o pobre, para que o pobre a encontre e a pegue, e possa beber um caldinho dela.	0.979	near-identical	replace: [tu] -> [ty] | replace: [joruduwo] -> [jorydywo] | replace: [kuru roguji..] -> [kururogu ji..]
BOR-CORBO-HM001-u051	Du inodu karega ure Boece. Eeruduware Pao Pemoji, eeruduware Pao Baraedugumeji, eeruduware Paje Okoge Ekurewudoji. Eruduware eiamedu ewadaruji. Du inodu tabo icare etaidure tuwo tudo nono torire. Etaidure tuwo tudo nono pobore. Pobore bataru bokware, torire bataru bokware. Mare tori batarure bakuru rema, pobo batarure bakuru rema. Bakurire ji du du du du, du bataru reno. Icare joruduwarewugere tudo nono reore	Du inodu karega ure Boece. Eerydyware Pao Pemo ji, eerydyware Pao Baraedugumeji, eerydyware Paje Okoge Ekurewydo ji. Erydyware eiamedy ewadaryji. Du inodu tabo icare etaidyre tuwo tudo nono torire. Etaidyre tuwo tudo nono pobore. Pobore batary bokware, torire batary bokware. Mare tori bataryre bakuru rema, pobo bataryre bakuru rema. Bakurire ji du du du du, du batary reno. Icare jorydywarewygere tudo nono reore		"Mas os Bororo não são assim.
Eles conhecem o nosso Pai Pemo, eles conhecem o nosso Pai Baraedugume, conhecem a nossa Mãe Okoge Ekurewudo. Conhecem todas as palavras deles. A pesar disso querem ser como pedras, querem ser como água. A água não fala, a pedra não fala. Mas a fala da pedra é o vento, a fala da água é o vento. Quando o vento sopra neles, essa é a sua fala. Então os sabidos se fazem como eles.8"	0.901	orthographic/editorial	replace: [Eeruduware] -> [Eerydyware] | replace: [Pemoji, eeruduware] -> [Pemo ji, eerydyware] | replace: [eeruduware] -> [eerydyware] | replace: [Ekurewudoji. Eruduware eiamedu ewadaruji.] -> [Ekurewydo ji. Erydyware eiamedy ewadaryji.] | replace: [etaidure] -> [etaidyre] | replace: [Etaidure] -> [Etaidyre] | replace: [bataru] -> [batary] | replace: [bataru] -> [batary]
BOR-CORBO-HM001-u052	Ekodure, etaregodure nowu to joru ba kae. Etaiwore tododai: oinore boe tuginoiwure! Arigaodoge egogodure etogi: Wau! Wau! Wau! Wau! Emage jamedu, egogodure jamedu, egore: M m m m m! Toro ei toro. Ekodo toro etae rugadu. Nowu arigaodoge erugodukare ei. Eegarenure ei.	Oino. Icá! Tawiapaga pemegado Pao Pemo ko boeto jiwy pawadary ji. Icare imode pawadary pemagado pui, mare Pao Pemo koia, Paore Pemo rema dykoia. Oino. Paore pagogiedae maky pagai, duwure iere pagogiedae..		"Andaram até chegar no lugar onde tinham feito a fogueira. Observaram na frente e viram que tinha muita coisa diferente!
Os cachorros latiam para eles: - Wau! Wau! Wau Wau!
E eles também gritavam dizendo: - M m m m m! Para os cachorros.
Dirigiram-se a onde estavam os cachorros e estes não brigaram com eles. Faziam-lhes festa."	0.030	substantive-or-segmentation	replace: [Ekodure, etaregodure nowu to joru ba kae. Etaiwore tododai: oinore boe tuginoiwure! Arigaodoge egogodure etogi: Wau! Wau! Wau! Wau! Emage jamedu, egogodure jamedu, egore: M m m m m! Toro ei toro. Ekodo toro etae rugadu. Nowu arigaodoge erugodukare ei. Eegarenure ei.] -> [Oino. Icá! Tawiapaga pemegado Pao Pemo ko boeto jiwy pawadary ji. Icare imode pawadary pemagado pui, mare Pao Pemo koia, Paore Pemo rema dykoia. Oino. Paore pagogiedae maky pagai, duwure iere pagogiedae..]
BOR-CORBO-HM001-u053	Egore: - Kakodiboe ba? Inoba ureboe ba? Egore: - Boe kadiboe cegi karegao. Arigaodoge cegiereo. Cegire cegiere Arigao gugure. Boe eke epaenure cegi, boe eeguieenure cegi.	Rekodajire, ure pagagodo: - Iro. Ure pagagodo: - Kuiada. Ure pagagodo: - Ju. Ure pagagodo: - Bako. Ure pagagodo: - Tako. Ure Pagagodo: - Tapira. Ure pagagodo: - Kagariga. Ure pagagodo: - Kawaru. Ure pagagodo: - Meriacia (melancia). Ure pagagodo: Riboarewy (abora).		"Eles perguntaram: O que é isto? Que classe de seres são estes?
Responderam: - N—s não somos qualquer coisa. N—s somos os cachorros. Nas nos chamamos cachorrinhos. N—s somos encarregados da comida dos Bororo. N—s somos animais domésticos dos Bororo."	0.055	substantive-or-segmentation	replace: [Egore:] -> [Rekodajire, ure pagagodo:] | replace: [Kakodiboe ba? Inoba ureboe ba? Egore:] -> [Iro. Ure pagagodo:] | replace: [Boe kadiboe cegi karegao. Arigaodoge cegiereo. Cegire cegiere Arigao gugure. Boe eke epaenure cegi, boe eeguieenure cegi.] -> [Kuiada. Ure pagagodo: - Ju. Ure pagagodo: - Bako. Ure pagagodo: - Tako. Ure Pagagodo: - Tapira. Ure pagagodo: - Kagariga. Ure pagagodo: - Kawaru. Ure pagagodo: - Meriacia (melancia). Ure pagagodo: Riboarewy (abora).]
BOR-CORBO-HM001-u054	Ca! Pagaguierogu reno, pagerogu reno. Nowure Pemore maku pagai boeto ji. Ure pagagodo: - Itogeare, ino nowu pagaguierogu bogai, nowu pagerogu bogai.	Ca! Pagaguierogu reno, pagerogu reno. Nowure Pemore maky pagai boeto ji. Ure pagagodo: - Itogeare, ino nowy pagaguierogu bogai, nowy pagerogu bogai.		"Eis! Esses são os nossos animais domésticos, esse é o nosso alimento. Mas foi Pemo quem nos deu no começo. Ele nos fez dizer: ""Eu desejo"" com referencia aos nossos animais domésticos e aos nossos alimentos."	0.980	near-identical	replace: [maku] -> [maky] | replace: [nowu] -> [nowy] | replace: [nowu] -> [nowy]
